자치구,위도,경도
중랑구,37.575179,127.00736
중랑구,37.596453,126.967939
중랑구,37.573735,126.989771
중랑구,37.573467,127.012433
중랑구,37.58297,126.980254
중랑구,37.594315,126.964782
중랑구,37.573,126.986323
중랑구,37.580224,126.969016
중랑구,37.569905,126.995457
중랑구,37.57009094,126.9794089
중랑구,37.593207,126.966545
중랑구,37.596453,126.967939
중랑구,37.583654,126.967892
중랑구,37.572423,126.965298
중랑구,37.575495,126.989198
중랑구,37.57105652,126.9874275
중랑구,37.591527,126.964637
중랑구,37.57009094,126.9794089
중랑구,37.568702,126.994414
중랑구,37.571879,126.986877
중랑구,37.5712971,126.997624
중랑구,37.590458,126.993872
중랑구,37.570675,126.993857
중랑구,37.5712971,126.997624
중랑구,37.588087,127.001279
중랑구,37.568744,126.994915
중랑구,37.58045557,126.9687049
중랑구,37.594315,126.964782
중랑구,37.573102,127.007861
중랑구,37.58297,126.980254
중랑구,37.589542,126.992255
중랑구,37.576073,126.962371
중랑구,37.589695,126.99297
중랑구,37.575675,127.005975
중랑구,37.578145,127.02103
중랑구,37.58297,126.980254
중랑구,37.576048,127.007845
중랑구,37.570357,126.98557
중랑구,37.570357,126.98557
중랑구,37.58297,126.980254
중랑구,37.573405,126.962951
중랑구,37.589444,127.000588
중랑구,37.589744,126.992554
중랑구,37.574112,127.007482
중랑구,37.573879,126.961071
중랑구,37.578145,127.02103
중랑구,37.578145,127.02103
중랑구,37.596453,126.967939
중랑구,37.575103,127.013308
중랑구,37.58781052,127.0838852
중랑구,37.58783821,127.0776156
중랑구,37.58779526,127.0853271
중랑구,37.61703873,127.0881424
중랑구,37.58773041,127.0974197
중랑구,37.58358002,127.0889053
중랑구,37.58889658,127.0932895
중랑구,37.58770752,127.0887375
중랑구,37.58770008,127.0926933
중랑구,37.58525085,127.0889511
중랑구,37.58769396,127.1010282
중랑구,37.58369064,127.093544
중랑구,37.5877037,127.0966644
중랑구,37.58765362,127.0900547
중랑구,37.5877037,127.0966644
중랑구,37.58765362,127.0900547
중랑구,37.58765362,127.0900547
중랑구,37.58746841,127.0873037
중랑구,37.58748149,127.0736711
중랑구,37.58359528,127.0873108
중랑구,37.58740086,127.0996959
중랑구,37.58740234,127.0836639
중랑구,37.58359528,127.0952072
중랑구,37.58740086,127.0996959
중랑구,37.58728133,127.0806577
중랑구,37.58704885,127.089434
중랑구,37.58727264,127.0845642
중랑구,37.58358002,127.0889053
중랑구,37.58734131,127.0921478
중랑구,37.58726501,127.0850601
중랑구,37.58762741,127.0904617
중랑구,37.58363342,127.0833817
중랑구,37.58348669,127.081257
중랑구,37.58363342,127.0833817
중랑구,37.58724213,127.0937271
중랑구,37.58375931,127.0924301
중랑구,37.58724213,127.0937271
중랑구,37.58712725,127.1003274
중랑구,37.58528519,127.082756
중랑구,37.58727264,127.0845642
중랑구,37.58372902,127.079254
중랑구,37.58684805,127.0882506
중랑구,37.58650181,127.0821261
중랑구,37.5839119,127.0850525
중랑구,37.58703967,127.0890692
중랑구,37.58698567,127.0740944
중랑구,37.58699384,127.0903695
중랑구,37.58703183,127.0874546
중랑구,37.58375931,127.0924301
중랑구,37.58696111,127.0917277
중랑구,37.58694084,127.0916091
중랑구,37.58382386,127.0783195
중랑구,37.58543015,127.0954971
중랑구,37.58685303,127.0802307
중랑구,37.58711457,127.0896047
중랑구,37.58676354,127.0772539
중랑구,37.58787,127.0961876
중랑구,37.58676354,127.0772539
중랑구,37.58684805,127.0882506
중랑구,37.58396149,127.0900574
중랑구,37.58666611,127.0860596
중랑구,37.58685238,127.0835049
중랑구,37.58411038,127.0937795
중랑구,37.58666611,127.0860596
중랑구,37.58657837,127.0825272
중랑구,37.58665133,127.0905398
중랑구,37.58657228,127.0916418
중랑구,37.58404922,127.080658
중랑구,37.58653259,127.0901947
중랑구,37.5865447,127.0764731
중랑구,37.58773041,127.0974197
중랑구,37.60742052,127.0811213
중랑구,37.58521794,127.0755231
중랑구,37.58639866,127.0791339
중랑구,37.60801242,127.0769604
중랑구,37.58650181,127.0821261
중랑구,37.58638382,127.0846329
중랑구,37.58650181,127.0821261
중랑구,37.5863509,127.091625
중랑구,37.58638382,127.0846329
중랑구,37.58626556,127.0962219
중랑구,37.5863509,127.091625
중랑구,37.58396149,127.0900574
중랑구,37.58623886,127.0812759
중랑구,37.58626175,127.0924606
중랑구,37.58428142,127.0775681
중랑구,37.58623886,127.0812759
중랑구,37.58613205,127.087616
중랑구,37.58573711,127.0784032
중랑구,37.58613205,127.087616
중랑구,37.57397023,127.0893741
중랑구,37.58614705,127.0807851
중랑구,37.58612823,127.0939713
중랑구,37.5863509,127.091625
중랑구,37.58612823,127.0939713
중랑구,37.58611298,127.0828476
중랑구,37.58588485,127.0853599
중랑구,37.58396149,127.0900574
중랑구,37.58454251,127.0760875
중랑구,37.58607864,127.0839157
중랑구,37.58587646,127.0859451
중랑구,37.58587646,127.0859451
중랑구,37.58612823,127.0939713
중랑구,37.58587574,127.0914494
중랑구,37.58545382,127.0914186
중랑구,37.58573711,127.0784032
중랑구,37.58416886,127.0826985
중랑구,37.58573711,127.0784032
중랑구,37.58562088,127.0793381
중랑구,37.58562469,127.0793991
중랑구,37.58566111,127.0820261
중랑구,37.58558822,127.0820251
중랑구,37.58553759,127.0901234
중랑구,37.58553759,127.0901234
중랑구,37.58462161,127.0856788
중랑구,37.58555093,127.0839481
중랑구,37.58552556,127.096624
중랑구,37.58430862,127.0767365
중랑구,37.58548766,127.0845481
중랑구,37.58545382,127.0914186
중랑구,37.58547211,127.0833359
중랑구,37.58545382,127.0914186
중랑구,37.57286703,127.0857223
중랑구,37.58547211,127.0833359
중랑구,37.58611298,127.0828476
중랑구,37.58547211,127.0833359
중랑구,37.58787,127.0961876
중랑구,37.58543396,127.0813904
중랑구,37.58532715,127.0767365
중랑구,37.58543015,127.0790405
중랑구,37.58430862,127.0767365
중랑구,37.58440018,127.0860977
중랑구,37.58433533,127.0912323
중랑구,37.58363342,127.0833817
중랑구,37.58587574,127.0914494
중랑구,37.58428142,127.0775681
중랑구,37.58486938,127.0768433
중랑구,37.58006142,127.0845604
중랑구,37.58467749,127.0831989
중랑구,37.58476684,127.0804437
중랑구,37.58525085,127.0889511
중랑구,37.58496475,127.0902557
중랑구,37.58498484,127.0844649
